"DATE","TIME PERIOD","Individual bank contribution to overall systemic risk using CoVaR,  5th percentile (RDE.D.D0.Z0Z.DE.EC.SRCB_COVAR.5P)","Individual bank contribution to overall systemic risk using CoVaR,  95th percentile (RDE.D.D0.Z0Z.DE.EC.SRCB_COVAR.95P)","Individual bank contribution to overall systemic risk using CoVaR,  Average (RDE.D.D0.Z0Z.DE.EC.SRCB_COVAR.AVE)","Individual insurance company  contribution to overall systemic risk using CoVaR, 5th percentile (RDE.D.D0.Z0Z.DE.EC.SRCI_COVAR.5P)","Individual insurance company  contribution to overall systemic risk using CoVaR, 95th percentile (RDE.D.D0.Z0Z.DE.EC.SRCI_COVAR.95P)","Individual insurance company  contribution to overall systemic risk using CoVaR, Average (RDE.D.D0.Z0Z.DE.EC.SRCI_COVAR.AVE)"
"2013-02-01","01 Feb 2013","-0.045312","-0.017276","-0.030669","-0.044158","-0.016930","-0.028701"
"2013-02-08","08 Feb 2013","-0.049830","-0.017840","-0.034593","-0.049918","-0.020746","-0.033720"
"2013-02-15","15 Feb 2013","-0.054072","-0.020245","-0.038600","-0.060314","-0.020176","-0.040640"
"2013-02-22","22 Feb 2013","-0.054011","-0.020642","-0.037405","-0.053412","-0.020758","-0.038210"
"2013-03-01","01 Mar 2013","-0.060749","-0.021528","-0.041877","-0.068212","-0.022308","-0.045652"
"2013-03-08","08 Mar 2013","-0.068506","-0.021959","-0.044046","-0.075770","-0.024518","-0.049666"
"2013-03-15","15 Mar 2013","-0.049613","-0.017405","-0.031904","-0.051453","-0.013984","-0.031842"
"2013-03-22","22 Mar 2013","-0.048796","-0.017806","-0.032782","-0.054827","-0.016800","-0.033958"
"2013-03-29","29 Mar 2013","-0.067216","-0.022539","-0.045438","-0.076446","-0.027273","-0.049415"
"2013-04-05","05 Apr 2013","-0.063764","-0.021309","-0.043039","-0.068591","-0.024356","-0.047629"
"2013-04-12","12 Apr 2013","-0.068238","-0.021636","-0.045177","-0.073694","-0.026706","-0.050786"
"2013-04-19","19 Apr 2013","-0.056721","-0.020673","-0.037602","-0.060897","-0.020038","-0.040783"
"2013-04-26","26 Apr 2013","-0.064430","-0.022742","-0.044822","-0.074979","-0.029430","-0.047700"
"2013-05-03","03 May 2013","-0.055409","-0.016128","-0.034016","-0.065022","-0.016336","-0.038313"
"2013-05-10","10 May 2013","-0.049507","-0.017451","-0.033526","-0.055765","-0.018201","-0.035111"
"2013-05-17","17 May 2013","-0.054314","-0.022143","-0.034740","-0.047476","-0.017142","-0.034187"
"2013-05-24","24 May 2013","-0.048149","-0.016877","-0.032473","-0.055735","-0.016371","-0.034197"
"2013-05-31","31 May 2013","-0.061965","-0.024527","-0.041721","-0.068738","-0.026783","-0.041378"
"2013-06-07","07 Jun 2013","-0.054718","-0.022614","-0.039220","-0.053750","-0.021580","-0.040029"
"2013-06-14","14 Jun 2013","-0.061583","-0.023507","-0.042764","-0.070096","-0.027670","-0.043617"
"2013-06-21","21 Jun 2013","-0.064301","-0.022168","-0.044552","-0.073053","-0.026702","-0.047489"
"2013-06-28","28 Jun 2013","-0.090414","-0.021148","-0.050712","-0.088790","-0.027695","-0.051341"
"2013-07-05","05 Jul 2013","-0.062839","-0.022043","-0.041949","-0.066150","-0.022117","-0.044386"
"2013-07-12","12 Jul 2013","-0.067644","-0.022341","-0.043363","-0.070856","-0.023195","-0.046165"
"2013-07-19","19 Jul 2013","-0.057013","-0.017955","-0.036438","-0.062410","-0.015517","-0.039447"
"2013-07-26","26 Jul 2013","-0.050938","-0.017948","-0.034526","-0.055570","-0.017518","-0.035019"
"2013-08-02","02 Aug 2013","-0.057186","-0.023910","-0.038528","-0.054862","-0.019764","-0.036192"
"2013-08-09","09 Aug 2013","-0.049071","-0.018143","-0.034540","-0.052083","-0.017531","-0.033783"
"2013-08-16","16 Aug 2013","-0.053230","-0.017880","-0.034904","-0.052092","-0.019261","-0.034566"
"2013-08-23","23 Aug 2013","-0.056193","-0.021973","-0.034335","-0.053620","-0.015430","-0.030816"
"2013-08-30","30 Aug 2013","-0.056534","-0.020979","-0.037742","-0.058774","-0.021027","-0.036772"
"2013-09-06","06 Sep 2013","-0.074665","-0.024282","-0.049925","-0.087163","-0.028934","-0.053735"
"2013-09-13","13 Sep 2013","-0.059123","-0.018636","-0.036359","-0.059493","-0.017070","-0.036768"
"2013-09-20","20 Sep 2013","-0.053187","-0.018832","-0.035265","-0.057688","-0.016759","-0.035248"
"2013-09-27","27 Sep 2013","-0.051918","-0.019433","-0.034205","-0.054480","-0.017091","-0.033951"
"2013-10-04","04 Oct 2013","-0.053763","-0.020814","-0.036854","-0.058836","-0.019403","-0.038507"
"2013-10-11","11 Oct 2013","-0.054827","-0.022437","-0.038732","-0.055706","-0.019771","-0.039186"
"2013-10-18","18 Oct 2013","-0.053563","-0.018711","-0.035777","-0.056816","-0.017868","-0.035918"
"2013-10-25","25 Oct 2013","-0.047752","-0.013163","-0.029987","-0.051252","-0.013341","-0.029376"
"2013-11-01","01 Nov 2013","-0.050054","-0.017359","-0.032708","-0.050758","-0.016176","-0.032049"
"2013-11-08","08 Nov 2013","-0.049629","-0.019464","-0.035093","-0.053070","-0.018383","-0.035282"
"2013-11-15","15 Nov 2013","-0.054465","-0.020260","-0.036034","-0.052881","-0.019915","-0.035284"
"2013-11-22","22 Nov 2013","-0.049781","-0.017278","-0.033531","-0.051036","-0.018156","-0.033100"
"2013-11-29","29 Nov 2013","-0.046802","-0.016040","-0.030192","-0.042825","-0.017459","-0.027872"
"2013-12-06","06 Dec 2013","-0.047804","-0.014780","-0.030620","-0.054473","-0.014210","-0.030175"
"2013-12-13","13 Dec 2013","-0.059179","-0.019164","-0.038165","-0.063277","-0.019458","-0.034661"
"2013-12-20","20 Dec 2013","-0.054762","-0.020745","-0.039547","-0.062924","-0.022985","-0.039289"
"2013-12-27","27 Dec 2013","-0.049275","-0.013433","-0.030256","-0.046645","-0.012655","-0.028637"
"2014-01-03","03 Jan 2014","-0.051532","-0.018687","-0.033785","-0.048358","-0.016050","-0.031077"
"2014-01-10","10 Jan 2014","-0.054947","-0.020449","-0.038281","-0.054470","-0.020196","-0.037614"
"2014-01-17","17 Jan 2014","-0.054673","-0.017236","-0.034166","-0.055432","-0.015176","-0.033840"
"2014-01-24","24 Jan 2014","-0.053221","-0.019460","-0.034530","-0.050663","-0.017071","-0.033280"
"2014-01-31","31 Jan 2014","-0.075135","-0.024791","-0.048195","-0.086398","-0.028923","-0.050028"
"2014-02-07","07 Feb 2014","-0.068042","-0.023139","-0.045072","-0.070582","-0.025462","-0.047403"
"2014-02-14","14 Feb 2014","-0.054960","-0.019136","-0.038552","-0.055289","-0.020563","-0.039086"
"2014-02-21","21 Feb 2014","-0.048722","-0.017018","-0.033211","-0.052353","-0.016906","-0.032446"
"2014-02-28","28 Feb 2014","-0.051048","-0.019088","-0.036912","-0.051796","-0.020244","-0.036976"
"2014-03-07","07 Mar 2014","-0.049316","-0.018181","-0.034481","-0.053201","-0.017404","-0.034842"
"2014-03-14","14 Mar 2014","-0.060854","-0.022945","-0.042731","-0.066789","-0.025816","-0.043662"
"2014-03-21","21 Mar 2014","-0.079320","-0.024914","-0.050199","-0.085994","-0.029443","-0.054778"
"2014-03-28","28 Mar 2014","-0.050940","-0.019494","-0.034516","-0.047427","-0.018643","-0.033413"
"2014-04-04","04 Apr 2014","-0.056261","-0.019607","-0.037437","-0.058685","-0.019436","-0.038145"
"2014-04-11","11 Apr 2014","-0.049331","-0.016378","-0.032427","-0.048845","-0.016432","-0.030812"
"2014-04-18","18 Apr 2014","-0.067428","-0.022291","-0.044295","-0.075447","-0.025795","-0.044126"
"2014-04-25","25 Apr 2014","-0.050790","-0.018573","-0.037979","-0.051867","-0.020967","-0.036771"
"2014-05-02","02 May 2014","-0.060049","-0.020237","-0.041244","-0.060432","-0.023479","-0.040874"
"2014-05-09","09 May 2014","-0.058155","-0.019500","-0.039571","-0.058977","-0.021903","-0.038770"
"2014-05-16","16 May 2014","-0.050258","-0.018391","-0.037103","-0.052453","-0.020952","-0.035377"
"2014-05-23","23 May 2014","-0.055112","-0.018526","-0.037217","-0.053845","-0.020487","-0.037676"
"2014-05-30","30 May 2014","-0.045995","-0.017679","-0.032996","-0.043573","-0.018760","-0.031074"
"2014-06-06","06 Jun 2014","-0.051905","-0.017382","-0.033771","-0.053433","-0.017041","-0.033888"
"2014-06-13","13 Jun 2014","-0.045406","-0.015322","-0.029474","-0.046752","-0.015803","-0.028058"
"2014-06-20","20 Jun 2014","-0.048888","-0.014681","-0.033619","-0.046727","-0.019368","-0.032400"
"2014-06-27","27 Jun 2014","-0.049617","-0.011808","-0.030575","-0.043398","-0.013299","-0.028564"
"2014-07-04","04 Jul 2014","-0.051735","-0.015403","-0.035932","-0.053917","-0.020771","-0.036378"
"2014-07-11","11 Jul 2014","-0.044687","-0.012951","-0.027601","-0.046275","-0.014695","-0.026385"
"2014-07-18","18 Jul 2014","-0.059511","-0.015888","-0.039114","-0.065127","-0.019906","-0.039978"
"2014-07-25","25 Jul 2014","-0.050829","-0.017101","-0.034593","-0.052886","-0.018449","-0.035996"
"2014-08-01","01 Aug 2014","-0.051777","-0.016609","-0.034952","-0.052657","-0.019098","-0.035794"
"2014-08-08","08 Aug 2014","-0.062472","-0.021697","-0.043845","-0.074721","-0.029128","-0.046352"
"2014-08-15","15 Aug 2014","-0.068327","-0.021268","-0.045082","-0.073115","-0.027362","-0.049929"
"2014-08-22","22 Aug 2014","-0.059546","-0.018390","-0.039037","-0.065477","-0.020653","-0.044653"
"2014-08-29","29 Aug 2014","-0.048883","-0.016975","-0.033154","-0.054325","-0.019184","-0.035450"
"2014-09-05","05 Sep 2014","-0.053903","-0.016511","-0.034074","-0.060204","-0.017750","-0.038315"
"2014-09-12","12 Sep 2014","-0.049257","-0.015924","-0.032536","-0.052568","-0.020255","-0.033727"
"2014-09-19","19 Sep 2014","-0.055087","-0.018761","-0.034827","-0.052482","-0.017763","-0.033689"
"2014-09-26","26 Sep 2014","-0.045747","-0.015327","-0.030711","-0.053177","-0.016232","-0.032082"
"2014-10-03","03 Oct 2014","-0.054658","-0.018819","-0.038536","-0.058688","-0.023328","-0.041403"
"2014-10-10","10 Oct 2014","-0.060447","-0.019712","-0.042240","-0.067875","-0.026907","-0.046183"
"2014-10-17","17 Oct 2014","-0.075747","-0.024925","-0.049533","-0.084129","-0.031676","-0.055055"
"2014-10-24","24 Oct 2014","-0.081626","-0.026294","-0.051057","-0.088218","-0.030591","-0.057657"
"2014-10-31","31 Oct 2014","-0.059721","-0.021203","-0.039226","-0.062083","-0.020672","-0.042899"
"2014-11-07","07 Nov 2014","-0.059678","-0.017571","-0.039235","-0.063491","-0.020875","-0.043481"
"2014-11-14","14 Nov 2014","-0.064521","-0.021291","-0.043083","-0.065554","-0.026237","-0.047438"
"2014-11-21","21 Nov 2014","-0.057721","-0.018793","-0.039815","-0.060294","-0.023932","-0.043807"
"2014-11-28","28 Nov 2014","-0.052370","-0.017211","-0.036088","-0.057521","-0.019821","-0.039936"
"2014-12-05","05 Dec 2014","-0.057941","-0.016616","-0.036668","-0.058747","-0.019151","-0.040311"
"2014-12-12","12 Dec 2014","-0.051335","-0.017277","-0.034385","-0.047073","-0.019847","-0.034612"
"2014-12-19","19 Dec 2014","-0.100965","-0.025604","-0.057996","-0.105722","-0.036125","-0.066722"
"2014-12-26","26 Dec 2014","-0.074198","-0.021809","-0.045183","-0.077560","-0.025344","-0.051207"
"2015-01-02","02 Jan 2015","-0.067420","-0.022091","-0.044074","-0.070464","-0.025440","-0.048456"
"2015-01-09","09 Jan 2015","-0.093996","-0.024544","-0.055393","-0.098959","-0.033587","-0.062307"
"2015-01-16","16 Jan 2015","-0.099234","-0.030085","-0.060001","-0.101023","-0.037046","-0.066485"
"2015-01-23","23 Jan 2015","-0.095563","-0.026410","-0.054191","-0.098381","-0.028872","-0.062512"
"2015-01-30","30 Jan 2015","-0.064452","-0.017084","-0.041010","-0.078672","-0.023582","-0.047531"
"2015-02-06","06 Feb 2015","-0.086026","-0.024280","-0.051626","-0.087654","-0.031556","-0.058021"
"2015-02-13","13 Feb 2015","-0.066501","-0.020056","-0.044088","-0.069639","-0.026404","-0.047035"
"2015-02-20","20 Feb 2015","-0.082575","-0.023367","-0.049864","-0.083612","-0.030187","-0.054752"
"2015-02-27","27 Feb 2015","-0.077310","-0.024166","-0.048368","-0.080729","-0.029120","-0.052489"
"2015-03-06","06 Mar 2015","-0.061995","-0.015974","-0.038341","-0.057543","-0.022060","-0.039624"
"2015-03-13","13 Mar 2015","-0.060722","-0.017693","-0.040729","-0.060435","-0.023453","-0.040593"
"2015-03-20","20 Mar 2015","-0.073414","-0.018905","-0.042729","-0.066745","-0.023762","-0.045304"
"2015-03-27","27 Mar 2015","-0.065328","-0.016042","-0.038347","-0.057340","-0.021223","-0.039674"
"2015-04-03","03 Apr 2015","-0.074235","-0.022046","-0.047419","-0.072445","-0.030844","-0.048745"
"2015-04-10","10 Apr 2015","-0.075021","-0.019794","-0.045216","-0.071345","-0.027298","-0.047370"
"2015-04-17","17 Apr 2015","-0.066576","-0.015904","-0.039367","-0.058233","-0.019658","-0.039650"
"2015-04-24","24 Apr 2015","-0.105078","-0.025137","-0.059884","-0.100477","-0.035691","-0.063212"
"2015-05-01","01 May 2015","-0.070030","-0.019288","-0.045555","-0.070397","-0.028163","-0.047556"
"2015-05-08","08 May 2015","-0.090251","-0.025560","-0.053579","-0.084188","-0.030965","-0.054346"
"2015-05-15","15 May 2015","-0.065757","-0.020868","-0.044455","-0.064964","-0.025245","-0.043805"
"2015-05-22","22 May 2015","-0.067673","-0.025025","-0.045416","-0.068010","-0.027929","-0.046363"
"2015-05-29","29 May 2015","-0.056984","-0.017482","-0.039088","-0.059619","-0.021856","-0.041276"
"2015-06-05","05 Jun 2015","-0.087126","-0.023059","-0.051541","-0.087698","-0.031775","-0.056752"
"2015-06-12","12 Jun 2015","-0.102331","-0.022225","-0.053045","-0.083858","-0.026015","-0.052334"
"2015-06-19","19 Jun 2015","-0.073919","-0.026147","-0.049622","-0.081087","-0.028178","-0.054398"
"2015-06-26","26 Jun 2015","-0.092177","-0.026623","-0.056683","-0.100822","-0.031534","-0.064664"
"2015-07-03","03 Jul 2015","-0.082763","-0.025528","-0.048651","-0.083786","-0.025277","-0.052397"
"2015-07-10","10 Jul 2015","-0.115599","-0.029369","-0.066322","-0.123611","-0.037015","-0.075840"
"2015-07-17","17 Jul 2015","-0.087104","-0.026940","-0.052382","-0.084282","-0.030549","-0.056931"
"2015-07-24","24 Jul 2015","-0.058194","-0.015912","-0.035680","-0.060606","-0.015622","-0.038657"
"2015-07-31","31 Jul 2015","-0.068904","-0.020754","-0.043502","-0.069306","-0.025841","-0.045793"
"2015-08-07","07 Aug 2015","-0.063631","-0.019241","-0.042629","-0.064499","-0.024361","-0.044679"
"2015-08-14","14 Aug 2015","-0.060992","-0.019733","-0.042098","-0.059179","-0.025335","-0.042430"
"2015-08-21","21 Aug 2015","-0.074661","-0.024864","-0.048927","-0.077805","-0.029901","-0.052006"
"2015-08-28","28 Aug 2015","-0.117939","-0.028811","-0.066313","-0.123235","-0.042691","-0.074687"
"2015-09-04","04 Sep 2015","-0.105674","-0.026085","-0.059602","-0.097914","-0.033509","-0.065173"
"2015-09-11","11 Sep 2015","-0.117995","-0.028499","-0.069049","-0.127225","-0.040014","-0.079576"
"2015-09-18","18 Sep 2015","-0.106996","-0.028290","-0.059372","-0.109062","-0.031324","-0.067947"
"2015-09-25","25 Sep 2015","-0.094949","-0.031709","-0.059786","-0.101799","-0.035233","-0.064695"
"2015-10-02","02 Oct 2015","-0.096031","-0.031123","-0.061042","-0.106288","-0.034604","-0.067563"
"2015-10-09","09 Oct 2015","-0.105828","-0.026319","-0.061069","-0.114769","-0.031224","-0.070134"
"2015-10-16","16 Oct 2015","-0.068456","-0.022917","-0.044397","-0.071175","-0.025377","-0.046514"
"2015-10-23","23 Oct 2015","-0.076478","-0.020775","-0.047045","-0.076784","-0.028444","-0.050982"
"2015-10-30","30 Oct 2015","-0.060667","-0.017234","-0.040174","-0.061474","-0.022799","-0.042227"
"2015-11-06","06 Nov 2015","-0.066927","-0.021322","-0.045673","-0.068605","-0.027300","-0.046597"
"2015-11-13","13 Nov 2015","-0.063282","-0.021211","-0.042818","-0.059755","-0.024092","-0.041537"
"2015-11-20","20 Nov 2015","-0.092716","-0.024896","-0.055009","-0.095292","-0.032895","-0.059945"
"2015-11-27","27 Nov 2015","-0.072102","-0.019909","-0.045941","-0.077562","-0.027373","-0.049404"
