"DATE","TIME PERIOD","Euro short-term rate - Calculation method (EST.B.EU000A2X2A25.CM)","Euro short-term rate - Number of active banks (EST.B.EU000A2X2A25.NB)","Euro short-term rate - Number of transactions (EST.B.EU000A2X2A25.NT)","Euro short-term rate - Rate at 25th percentile of volume (EST.B.EU000A2X2A25.R25)","Euro short-term rate - Rate at 75th percentile of volume (EST.B.EU000A2X2A25.R75)","Euro short-term rate - Publication type (EST.B.EU000A2X2A25.RP)","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)","Euro short-term rate - Share of volume of the 5 largest active banks (EST.B.EU000A2X2A25.VL)","Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT)"
"2024-08-16","16 Aug 2024","0","35","738","3.65","3.68","0","55384","53","3.664"
"2024-08-19","19 Aug 2024","0","35","758","3.65","3.68","0","57783","54","3.664"
"2024-08-20","20 Aug 2024","0","34","768","3.65","3.68","0","59973","54","3.664"
"2024-08-21","21 Aug 2024","0","36","756","3.64","3.68","0","58812","55","3.663"
"2024-08-22","22 Aug 2024","0","34","737","3.65","3.68","0","56747","56","3.664"
"2024-08-23","23 Aug 2024","0","34","674","3.65","3.68","0","50341","56","3.664"
"2024-08-26","26 Aug 2024","0","34","639","3.65","3.68","0","48372","58","3.665"
"2024-08-27","27 Aug 2024","0","35","722","3.65","3.68","0","52454","54","3.665"
"2024-08-28","28 Aug 2024","0","35","732","3.65","3.68","0","51717","56","3.666"
"2024-08-29","29 Aug 2024","0","34","716","3.65","3.68","0","49478","57","3.664"
"2024-08-30","30 Aug 2024","0","34","649","3.62","3.68","0","46134","55","3.654"
"2024-09-02","02 Sep 2024","0","34","753","3.65","3.68","0","54157","54","3.664"
"2024-09-03","03 Sep 2024","0","35","736","3.65","3.68","0","51938","54","3.663"
"2024-09-04","04 Sep 2024","0","34","742","3.64","3.68","0","52998","53","3.663"
"2024-09-05","05 Sep 2024","0","35","702","3.64","3.68","0","48481","55","3.662"
"2024-09-06","06 Sep 2024","0","36","691","3.64","3.68","0","48425","53","3.663"
"2024-09-09","09 Sep 2024","0","35","733","3.64","3.68","0","52318","53","3.663"
"2024-09-10","10 Sep 2024","0","36","738","3.64","3.68","0","51460","55","3.664"
"2024-09-11","11 Sep 2024","0","35","751","3.64","3.68","0","52110","52","3.664"
"2024-09-12","12 Sep 2024","0","35","728","3.64","3.68","0","51191","54","3.664"
"2024-09-13","13 Sep 2024","0","34","713","3.64","3.68","0","47984","54","3.663"
"2024-09-16","16 Sep 2024","0","35","719","3.64","3.68","0","51956","56","3.662"
"2024-09-17","17 Sep 2024","0","34","774","3.64","3.68","0","53970","55","3.665"
"2024-09-18","18 Sep 2024","0","35","771","3.40","3.43","0","55053","56","3.416"
"2024-09-19","19 Sep 2024","0","35","740","3.39","3.43","0","49980","55","3.414"
"2024-09-20","20 Sep 2024","0","34","708","3.39","3.43","0","45533","54","3.412"
"2024-09-23","23 Sep 2024","0","33","682","3.39","3.43","0","43512","58","3.414"
"2024-09-24","24 Sep 2024","0","34","721","3.39","3.43","0","50144","54","3.415"
"2024-09-25","25 Sep 2024","0","34","712","3.40","3.43","0","48068","55","3.416"
"2024-09-26","26 Sep 2024","0","33","680","3.40","3.43","0","45023","58","3.415"
"2024-09-27","27 Sep 2024","0","33","698","3.39","3.43","0","47384","53","3.415"
"2024-09-30","30 Sep 2024","0","33","623","3.38","3.44","0","43394","61","3.410"
"2024-10-01","01 Oct 2024","0","34","715","3.40","3.43","0","53511","57","3.416"
"2024-10-02","02 Oct 2024","0","34","656","3.39","3.43","0","47709","56","3.410"
"2024-10-03","03 Oct 2024","0","31","497","3.39","3.43","0","37573","58","3.407"
"2024-10-04","04 Oct 2024","0","35","700","3.39","3.43","0","48039","54","3.414"
"2024-10-07","07 Oct 2024","0","35","715","3.39","3.43","0","52533","55","3.413"
"2024-10-08","08 Oct 2024","0","34","721","3.39","3.43","0","50029","53","3.414"
"2024-10-09","09 Oct 2024","0","34","727","3.39","3.43","0","48105","53","3.415"
"2024-10-10","10 Oct 2024","0","34","689","3.39","3.43","0","47488","53","3.414"
"2024-10-11","11 Oct 2024","0","34","706","3.39","3.43","0","47574","53","3.413"
"2024-10-14","14 Oct 2024","0","34","718","3.39","3.43","0","47219","53","3.413"
"2024-10-15","15 Oct 2024","0","34","717","3.39","3.43","0","46478","55","3.413"
"2024-10-16","16 Oct 2024","0","34","716","3.39","3.43","0","49345","58","3.414"
"2024-10-17","17 Oct 2024","0","34","690","3.39","3.43","0","49939","59","3.415"
"2024-10-18","18 Oct 2024","0","34","713","3.39","3.43","0","50271","57","3.415"
"2024-10-21","21 Oct 2024","0","34","706","3.39","3.43","0","50349","60","3.415"
"2024-10-22","22 Oct 2024","0","34","707","3.39","3.44","0","48191","59","3.416"
"2024-10-23","23 Oct 2024","0","34","686","3.14","3.19","0","44381","59","3.166"
"2024-10-24","24 Oct 2024","0","34","680","3.15","3.19","0","47084","60","3.166"
"2024-10-25","25 Oct 2024","0","32","668","3.15","3.18","0","46028","58","3.166"
"2024-10-28","28 Oct 2024","0","32","685","3.15","3.18","0","48357","59","3.164"
"2024-10-29","29 Oct 2024","0","34","717","3.15","3.18","0","50939","58","3.164"
"2024-10-30","30 Oct 2024","0","34","710","3.15","3.19","0","50736","59","3.165"
"2024-10-31","31 Oct 2024","0","31","543","3.10","3.20","0","41909","63","3.155"
"2024-11-01","01 Nov 2024","0","32","630","3.15","3.18","0","47558","64","3.163"
"2024-11-04","04 Nov 2024","0","33","730","3.15","3.18","0","55205","60","3.163"
"2024-11-05","05 Nov 2024","0","33","748","3.15","3.18","0","58927","56","3.163"
"2024-11-06","06 Nov 2024","0","33","703","3.14","3.18","0","53148","56","3.162"
"2024-11-07","07 Nov 2024","0","35","682","3.15","3.18","0","50847","56","3.163"
"2024-11-08","08 Nov 2024","0","35","638","3.15","3.19","0","49104","62","3.163"
"2024-11-11","11 Nov 2024","0","34","675","3.15","3.18","0","53164","61","3.162"
"2024-11-12","12 Nov 2024","0","35","715","3.15","3.18","0","55125","58","3.163"
"2024-11-13","13 Nov 2024","0","35","710","3.15","3.18","0","53336","56","3.164"
"2024-11-14","14 Nov 2024","0","35","702","3.15","3.19","0","54704","56","3.165"
"2024-11-15","15 Nov 2024","0","34","728","3.15","3.19","0","53746","57","3.165"
"2024-11-18","18 Nov 2024","0","34","693","3.15","3.19","0","54775","58","3.165"
"2024-11-19","19 Nov 2024","0","34","728","3.15","3.19","0","54720","57","3.166"
"2024-11-20","20 Nov 2024","0","35","734","3.15","3.19","0","55474","57","3.167"
"2024-11-21","21 Nov 2024","0","34","697","3.15","3.19","0","53563","57","3.167"
"2024-11-22","22 Nov 2024","0","34","708","3.15","3.20","0","52582","57","3.168"
"2024-11-25","25 Nov 2024","0","35","701","3.15","3.19","0","51869","58","3.167"
"2024-11-26","26 Nov 2024","0","35","700","3.15","3.19","0","53852","58","3.165"
"2024-11-27","27 Nov 2024","0","34","676","3.15","3.19","0","51405","57","3.165"
"2024-11-28","28 Nov 2024","0","34","662","3.15","3.19","0","52865","57","3.164"
"2024-11-29","29 Nov 2024","0","34","646","3.13","3.19","0","48774","58","3.163"
"2024-12-02","02 Dec 2024","0","34","719","3.14","3.19","0","59177","55","3.165"
"2024-12-03","03 Dec 2024","0","33","727","3.14","3.18","0","63753","54","3.164"
"2024-12-04","04 Dec 2024","0","34","727","3.14","3.19","0","59911","53","3.165"
"2024-12-05","05 Dec 2024","0","34","704","3.14","3.19","0","56183","53","3.165"
"2024-12-06","06 Dec 2024","0","34","704","3.14","3.18","0","54205","52","3.165"
"2024-12-09","09 Dec 2024","0","35","721","3.14","3.18","0","54986","52","3.164"
"2024-12-10","10 Dec 2024","0","35","734","3.13","3.19","0","55659","51","3.163"
"2024-12-11","11 Dec 2024","0","33","665","3.14","3.19","0","45087","56","3.164"
"2024-12-12","12 Dec 2024","0","35","691","3.14","3.18","0","49557","53","3.164"
"2024-12-13","13 Dec 2024","0","35","703","3.14","3.19","0","48944","51","3.167"
"2024-12-16","16 Dec 2024","0","35","700","3.14","3.20","0","49825","50","3.165"
"2024-12-17","17 Dec 2024","0","35","724","3.13","3.20","0","52203","51","3.164"
"2024-12-18","18 Dec 2024","0","35","731","2.89","2.95","0","55540","53","2.917"
"2024-12-19","19 Dec 2024","0","34","706","2.89","2.95","0","54589","54","2.919"
"2024-12-20","20 Dec 2024","0","34","708","2.89","2.95","0","50178","55","2.916"
"2024-12-23","23 Dec 2024","0","33","570","2.89","2.93","0","38619","52","2.911"
"2024-12-24","24 Dec 2024","0","29","356","2.89","2.93","0","31561","51","2.909"
"2024-12-27","27 Dec 2024","0","34","638","2.90","2.94","0","48132","55","2.916"
"2024-12-30","30 Dec 2024","0","33","515","2.90","2.93","0","40655","54","2.915"
"2024-12-31","31 Dec 2024","0","30","347","2.87","2.94","0","33792","59","2.905"
"2025-01-02","02 Jan 2025","0","36","617","2.90","2.95","0","59601","56","2.920"
"2025-01-03","03 Jan 2025","0","33","597","2.90","2.95","0","55651","58","2.919"
"2025-01-06","06 Jan 2025","0","33","574","2.90","2.95","0","53701","58","2.917"
"2025-01-07","07 Jan 2025","0","35","670","2.89","2.95","0","59102","55","2.918"
"2025-01-08","08 Jan 2025","0","36","724","2.89","2.95","0","59265","55","2.917"
"2025-01-09","09 Jan 2025","0","36","705","2.89","2.95","0","55672","55","2.920"
"2025-01-10","10 Jan 2025","0","36","737","2.89","2.95","0","56000","56","2.917"
"2025-01-13","13 Jan 2025","0","36","754","2.90","2.95","0","61069","54","2.918"
"2025-01-14","14 Jan 2025","0","36","766","2.90","2.95","0","58770","54","2.919"
"2025-01-15","15 Jan 2025","0","36","761","2.90","2.95","0","56383","54","2.920"
"2025-01-16","16 Jan 2025","0","36","742","2.90","2.95","0","59470","54","2.920"
"2025-01-17","17 Jan 2025","0","36","753","2.90","2.95","0","62631","53","2.920"
"2025-01-20","20 Jan 2025","0","36","791","2.90","2.95","0","64546","51","2.919"
"2025-01-21","21 Jan 2025","0","36","781","2.90","2.95","0","63013","54","2.921"
"2025-01-22","22 Jan 2025","0","36","794","2.90","2.95","0","63044","53","2.920"
"2025-01-23","23 Jan 2025","0","36","773","2.90","2.95","0","58215","51","2.922"
"2025-01-24","24 Jan 2025","0","37","771","2.90","2.95","0","57896","51","2.921"
"2025-01-27","27 Jan 2025","0","35","789","2.90","2.95","0","56960","51","2.921"
"2025-01-28","28 Jan 2025","0","34","792","2.89","2.95","0","57592","52","2.921"
"2025-01-29","29 Jan 2025","0","35","775","2.89","2.95","0","51029","53","2.923"
"2025-01-30","30 Jan 2025","0","35","752","2.89","2.95","0","50573","53","2.923"
"2025-01-31","31 Jan 2025","0","32","619","2.88","2.95","0","43550","55","2.912"
"2025-02-03","03 Feb 2025","0","33","750","2.90","2.95","0","59421","53","2.918"
"2025-02-04","04 Feb 2025","0","34","784","2.90","2.95","0","65539","53","2.917"
"2025-02-05","05 Feb 2025","0","34","789","2.65","2.69","0","65395","52","2.666"
"2025-02-06","06 Feb 2025","0","35","758","2.65","2.70","0","65493","52","2.669"
"2025-02-07","07 Feb 2025","0","35","746","2.65","2.69","0","64106","55","2.665"
"2025-02-10","10 Feb 2025","0","34","658","2.65","2.68","0","56402","60","2.664"
"2025-02-11","11 Feb 2025","0","35","738","2.65","2.69","0","58984","56","2.666"
"2025-02-12","12 Feb 2025","0","35","744","2.65","2.68","0","55367","53","2.665"
"2025-02-13","13 Feb 2025","0","34","713","2.65","2.70","0","54021","52","2.667"
"2025-02-14","14 Feb 2025","0","34","724","2.65","2.68","0","53448","53","2.666"
"2025-02-17","17 Feb 2025","0","33","747","2.65","2.68","0","57535","51","2.665"
"2025-02-18","18 Feb 2025","0","34","751","2.65","2.69","0","58436","52","2.666"
"2025-02-19","19 Feb 2025","0","35","754","2.65","2.68","0","56364","52","2.665"
"2025-02-20","20 Feb 2025","0","35","723","2.65","2.69","0","55253","53","2.667"
"2025-02-21","21 Feb 2025","0","35","758","2.65","2.69","0","56807","55","2.666"
"2025-02-24","24 Feb 2025","0","35","746","2.65","2.69","0","58372","54","2.666"
"2025-02-25","25 Feb 2025","0","35","763","2.65","2.69","0","59193","56","2.666"
"2025-02-26","26 Feb 2025","0","35","765","2.65","2.68","0","56824","55","2.665"
"2025-02-27","27 Feb 2025","0","34","706","2.65","2.68","0","52373","54","2.666"
"2025-02-28","28 Feb 2025","0","32","595","2.64","2.70","0","48043","57","2.658"
"2025-03-03","03 Mar 2025","0","33","689","2.65","2.68","0","57104","49","2.663"
"2025-03-04","04 Mar 2025","0","34","746","2.65","2.68","0","57241","52","2.664"
"2025-03-05","05 Mar 2025","0","34","757","2.65","2.68","0","58415","53","2.664"
"2025-03-06","06 Mar 2025","0","34","727","2.65","2.69","0","52016","51","2.666"
"2025-03-07","07 Mar 2025","0","35","719","2.65","2.68","0","56041","54","2.665"
"2025-03-10","10 Mar 2025","0","35","742","2.65","2.68","0","58085","55","2.663"
"2025-03-11","11 Mar 2025","0","35","786","2.65","2.68","0","57664","53","2.663"
"2025-03-12","12 Mar 2025","0","34","701","2.40","2.43","0","52955","55","2.412"
"2025-03-13","13 Mar 2025","0","35","766","2.40","2.43","0","58524","52","2.413"
"2025-03-14","14 Mar 2025","0","35","759","2.40","2.43","0","57463","54","2.417"
"2025-03-17","17 Mar 2025","0","35","766","2.40","2.43","0","59899","52","2.417"
"2025-03-18","18 Mar 2025","0","36","816","2.40","2.43","0","66780","51","2.417"
"2025-03-19","19 Mar 2025","0","36","799","2.40","2.43","0","64268","53","2.416"
"2025-03-20","20 Mar 2025","0","35","747","2.40","2.44","0","62675","53","2.417"
"2025-03-21","21 Mar 2025","0","36","740","2.40","2.44","0","60668","53","2.417"
"2025-03-24","24 Mar 2025","0","35","742","2.40","2.44","0","61138","53","2.418"
"2025-03-25","25 Mar 2025","0","33","742","2.40","2.44","0","57996","55","2.418"
"2025-03-26","26 Mar 2025","0","35","767","2.40","2.44","0","57859","54","2.417"
"2025-03-27","27 Mar 2025","0","36","730","2.40","2.44","0","52581","55","2.417"
"2025-03-28","28 Mar 2025","0","33","695","2.40","2.43","0","53018","56","2.417"
"2025-03-31","31 Mar 2025","0","33","662","2.39","2.45","0","55940","58","2.415"
"2025-04-01","01 Apr 2025","0","35","746","2.40","2.45","0","65071","55","2.420"
"2025-04-02","02 Apr 2025","0","35","771","2.40","2.44","0","64898","55","2.417"
"2025-04-03","03 Apr 2025","0","34","739","2.40","2.43","0","63703","56","2.416"
"2025-04-04","04 Apr 2025","0","35","783","2.40","2.43","0","68047","57","2.415"
"2025-04-07","07 Apr 2025","0","35","806","2.40","2.43","0","70875","56","2.414"
"2025-04-08","08 Apr 2025","0","35","797","2.40","2.43","0","68074","53","2.415"
"2025-04-09","09 Apr 2025","0","34","735","2.40","2.43","0","63933","56","2.415"
"2025-04-10","10 Apr 2025","0","35","821","2.40","2.43","0","70411","55","2.416"
"2025-04-11","11 Apr 2025","0","35","829","2.40","2.43","0","73735","54","2.416"
"2025-04-14","14 Apr 2025","0","35","870","2.40","2.44","0","78052","53","2.417"
"2025-04-15","15 Apr 2025","0","35","855","2.40","2.43","0","78513","54","2.416"
"2025-04-16","16 Apr 2025","0","35","847","2.40","2.44","0","75367","55","2.418"
"2025-04-17","17 Apr 2025","0","35","840","2.40","2.44","0","71975","53","2.417"
"2025-04-22","22 Apr 2025","0","35","885","2.40","2.44","0","80702","54","2.417"
"2025-04-23","23 Apr 2025","0","35","807","2.15","2.20","0","80023","54","2.167"
"2025-04-24","24 Apr 2025","0","35","796","2.15","2.20","0","75731","55","2.169"
"2025-04-25","25 Apr 2025","0","35","790","2.15","2.20","0","73597","56","2.167"
"2025-04-28","28 Apr 2025","0","35","828","2.15","2.20","0","73379","54","2.167"
"2025-04-29","29 Apr 2025","0","35","812","2.15","2.20","0","72887","55","2.167"
"2025-04-30","30 Apr 2025","0","33","683","2.10","2.20","0","58286","58","2.156"
"2025-05-02","02 May 2025","0","32","651","2.15","2.19","0","67533","58","2.168"
"2025-05-05","05 May 2025","0","32","678","2.15","2.19","0","65317","56","2.167"
"2025-05-06","06 May 2025","0","35","792","2.15","2.20","0","76605","55","2.167"
"2025-05-07","07 May 2025","0","36","772","2.15","2.20","0","70895","52","2.169"
"2025-05-08","08 May 2025","0","36","742","2.15","2.20","0","70440","54","2.171"
"2025-05-09","09 May 2025","0","35","762","2.15","2.20","0","72574","55","2.169"
"2025-05-12","12 May 2025","0","35","829","2.15","2.20","0","77922","52","2.170"
"2025-05-13","13 May 2025","0","34","816","2.15","2.20","0","71222","54","2.172"
"2025-05-14","14 May 2025","0","34","814","2.15","2.20","0","67820","54","2.172"
"2025-05-15","15 May 2025","0","33","786","2.15","2.20","0","66389","54","2.172"
"2025-05-16","16 May 2025","0","34","808","2.15","2.20","0","69364","54","2.170"
"2025-05-19","19 May 2025","0","34","799","2.15","2.20","0","72728","54","2.171"
"2025-05-20","20 May 2025","0","35","800","2.15","2.20","0","70186","54","2.172"
"2025-05-21","21 May 2025","0","34","773","2.15","2.20","0","64535","54","2.169"
"2025-05-22","22 May 2025","0","34","772","2.15","2.20","0","63539","52","2.173"
"2025-05-23","23 May 2025","0","33","676","2.15","2.20","0","55688","56","2.170"
"2025-05-26","26 May 2025","0","33","724","2.15","2.20","0","59957","53","2.168"
"2025-05-27","27 May 2025","0","34","774","2.15","2.20","0","65445","53","2.172"
"2025-05-28","28 May 2025","0","35","624","2.15","2.19","0","53919","55","2.167"
"2025-05-29","29 May 2025","0","32","447","2.14","2.20","0","42457","59","2.161"
"2025-05-30","30 May 2025","0","31","651","2.14","2.20","0","51660","56","2.161"
"2025-06-02","02 Jun 2025","0","32","762","2.15","2.20","0","70801","55","2.172"
"2025-06-03","03 Jun 2025","0","33","783","2.15","2.20","0","72647","52","2.172"
"2025-06-04","04 Jun 2025","0","35","709","2.15","2.20","0","63092","56","2.173"
"2025-06-05","05 Jun 2025","0","34","657","2.15","2.20","0","64297","55","2.174"
"2025-06-06","06 Jun 2025","0","33","494","2.15","2.20","0","49889","53","2.173"
"2025-06-09","09 Jun 2025","0","31","367","2.15","2.20","0","40496","56","2.170"
"2025-06-10","10 Jun 2025","0","33","750","2.15","2.20","0","63341","52","2.174"
"2025-06-11","11 Jun 2025","0","34","759","1.90","1.95","0","67516","51","1.924"
"2025-06-12","12 Jun 2025","0","36","735","1.90","1.95","0","63890","50","1.923"
"2025-06-13","13 Jun 2025","0","31","584","1.90","1.95","0","51730","53","1.925"
"2025-06-16","16 Jun 2025","0","35","730","1.90","1.95","0","63066","52","1.924"
"2025-06-17","17 Jun 2025","0","36","754","1.90","1.95","0","62301","52","1.924"
"2025-06-18","18 Jun 2025","0","34","695","1.90","1.95","0","60878","52","1.922"
"2025-06-19","19 Jun 2025","0","35","531","1.90","1.95","0","48265","53","1.917"
"2025-06-20","20 Jun 2025","0","36","742","1.90","1.95","0","60690","51","1.923"
"2025-06-23","23 Jun 2025","0","34","749","1.90","1.95","0","61915","49","1.925"
"2025-06-24","24 Jun 2025","0","35","757","1.90","1.95","0","64452","49","1.926"
"2025-06-25","25 Jun 2025","0","34","723","1.90","1.95","0","55792","51","1.925"
"2025-06-26","26 Jun 2025","0","34","691","1.90","1.95","0","53470","49","1.929"
"2025-06-27","27 Jun 2025","0","34","710","1.90","1.95","0","51767","51","1.928"
"2025-06-30","30 Jun 2025","0","33","682","1.89","1.95","0","51235","50","1.921"
"2025-07-01","01 Jul 2025","0","47","915","1.90","1.95","0","75101","45","1.921"
"2025-07-02","02 Jul 2025","0","47","893","1.90","1.95","0","77118","45","1.923"
"2025-07-03","03 Jul 2025","0","49","894","1.90","1.95","0","75713","45","1.922"
"2025-07-04","04 Jul 2025","0","49","942","1.90","1.95","0","77570","45","1.920"
"2025-07-07","07 Jul 2025","0","50","938","1.90","1.95","0","78362","46","1.920"
"2025-07-08","08 Jul 2025","0","49","930","1.90","1.95","0","75814","44","1.919"
"2025-07-09","09 Jul 2025","0","51","916","1.90","1.95","0","74301","46","1.919"
"2025-07-10","10 Jul 2025","0","49","901","1.90","1.95","0","72011","45","1.921"
"2025-07-11","11 Jul 2025","0","50","892","1.90","1.95","0","68462","45","1.923"
"2025-07-14","14 Jul 2025","0","50","903","1.90","1.95","0","67053","43","1.923"
"2025-07-15","15 Jul 2025","0","47","906","1.90","1.95","0","67278","44","1.922"
"2025-07-16","16 Jul 2025","0","50","911","1.90","1.95","0","70260","46","1.923"
"2025-07-17","17 Jul 2025","0","48","892","1.90","1.95","0","69341","46","1.925"
"2025-07-18","18 Jul 2025","0","49","900","1.90","1.95","0","73483","46","1.923"
"2025-07-21","21 Jul 2025","0","48","936","1.90","1.95","0","75404","43","1.924"
"2025-07-22","22 Jul 2025","0","52","940","1.90","1.95","0","77901","44","1.923"
"2025-07-23","23 Jul 2025","0","49","931","1.90","1.95","0","76405","46","1.924"
"2025-07-24","24 Jul 2025","0","49","909","1.90","1.95","0","74317","46","1.924"
"2025-07-25","25 Jul 2025","0","47","906","1.90","1.95","0","68449","47","1.925"
"2025-07-28","28 Jul 2025","0","50","930","1.90","1.95","0","68764","46","1.923"
"2025-07-29","29 Jul 2025","0","50","906","1.90","1.95","0","67209","46","1.923"
"2025-07-30","30 Jul 2025","0","51","936","1.90","1.95","0","64874","46","1.924"
"2025-07-31","31 Jul 2025","0","44","807","1.88","1.95","0","54558","49","1.919"
"2025-08-01","01 Aug 2025","0","46","888","1.90","1.95","0","69214","44","1.927"
"2025-08-04","04 Aug 2025","0","48","897","1.90","1.95","0","71205","45","1.925"
"2025-08-05","05 Aug 2025","0","49","953","1.90","1.95","0","75618","44","1.924"
"2025-08-06","06 Aug 2025","0","47","945","1.90","1.95","0","75290","46","1.922"
"2025-08-07","07 Aug 2025","0","48","910","1.90","1.95","0","73556","47","1.923"
"2025-08-08","08 Aug 2025","0","47","913","1.90","1.95","0","72473","43","1.922"
"2025-08-11","11 Aug 2025","0","48","828","1.90","1.95","0","59468","47","1.918"
"2025-08-12","12 Aug 2025","0","49","922","1.90","1.95","0","68808","44","1.922"
"2025-08-13","13 Aug 2025","0","47","910","1.90","1.95","0","67274","44","1.923"
"2025-08-14","14 Aug 2025","0","43","703","1.90","1.95","0","58494","46","1.926"
"2025-08-15","15 Aug 2025","0","38","695","1.90","1.95","0","59937","48","1.924"
"2025-08-18","18 Aug 2025","0","49","936","1.90","1.95","0","68243","42","1.924"
"2025-08-19","19 Aug 2025","0","47","918","1.90","1.95","0","70704","43","1.925"
"2025-08-20","20 Aug 2025","0","47","929","1.90","1.95","0","70116","43","1.926"
"2025-08-21","21 Aug 2025","0","48","898","1.90","1.95","0","68493","44","1.926"
"2025-08-22","22 Aug 2025","0","48","821","1.90","1.95","0","63395","48","1.926"
"2025-08-25","25 Aug 2025","0","47","850","1.90","1.95","0","65044","47","1.925"
"2025-08-26","26 Aug 2025","0","46","924","1.90","1.95","0","66825","43","1.926"
"2025-08-27","27 Aug 2025","0","48","919","1.90","1.95","0","65754","45","1.925"
"2025-08-28","28 Aug 2025","0","46","893","1.90","1.95","0","64604","47","1.925"
"2025-08-29","29 Aug 2025","0","46","849","1.89","1.95","0","58208","48","1.920"
"2025-09-01","01 Sep 2025","0","47","913","1.90","1.95","0","69327","44","1.925"
"2025-09-02","02 Sep 2025","0","45","886","1.90","1.95","0","60458","45","1.922"
"2025-09-03","03 Sep 2025","0","45","901","1.90","1.95","0","67049","44","1.923"
"2025-09-04","04 Sep 2025","0","46","879","1.90","1.95","0","66541","45","1.925"
"2025-09-05","05 Sep 2025","0","47","848","1.90","1.95","0","61903","45","1.923"
"2025-09-08","08 Sep 2025","0","47","872","1.90","1.95","0","65006","44","1.922"
"2025-09-09","09 Sep 2025","0","47","934","1.90","1.95","0","68819","44","1.923"
"2025-09-10","10 Sep 2025","0","47","903","1.90","1.95","0","66229","44","1.922"
"2025-09-11","11 Sep 2025","0","46","893","1.90","1.95","0","67622","43","1.925"
"2025-09-12","12 Sep 2025","0","46","912","1.90","1.95","0","66562","43","1.925"
"2025-09-15","15 Sep 2025","0","47","913","1.90","1.95","0","68076","42","1.926"
"2025-09-16","16 Sep 2025","0","45","930","1.90","1.95","0","66131","42","1.926"
"2025-09-17","17 Sep 2025","0","45","905","1.90","1.95","0","65994","42","1.927"
"2025-09-18","18 Sep 2025","0","48","918","1.90","1.95","0","63091","44","1.926"
"2025-09-19","19 Sep 2025","0","48","908","1.90","1.95","0","59203","44","1.925"
"2025-09-22","22 Sep 2025","0","46","909","1.90","1.95","0","62044","43","1.925"
"2025-09-23","23 Sep 2025","0","45","918","1.90","1.95","0","66384","42","1.927"
"2025-09-24","24 Sep 2025","0","47","903","1.90","1.95","0","61709","39","1.928"
"2025-09-25","25 Sep 2025","0","47","906","1.90","1.95","0","61096","41","1.927"
"2025-09-26","26 Sep 2025","0","48","894","1.90","1.95","0","57154","41","1.926"
"2025-09-29","29 Sep 2025","0","47","909","1.90","1.95","0","62448","44","1.926"
"2025-09-30","30 Sep 2025","0","45","812","1.87","1.95","0","55679","43","1.916"
"2025-10-01","01 Oct 2025","0","48","899","1.90","1.95","0","66410","42","1.927"
"2025-10-02","02 Oct 2025","0","45","747","1.90","1.95","0","56949","46","1.923"
"2025-10-03","03 Oct 2025","0","46","658","1.90","1.95","0","48675","46","1.921"
"2025-10-06","06 Oct 2025","0","49","906","1.90","1.95","0","67068","41","1.925"
"2025-10-07","07 Oct 2025","0","49","879","1.90","1.95","0","65729","43","1.926"
"2025-10-08","08 Oct 2025","0","49","885","1.90","1.95","0","62497","42","1.924"
"2025-10-09","09 Oct 2025","0","48","860","1.90","1.95","0","62467","40","1.927"
"2025-10-10","10 Oct 2025","0","47","890","1.90","1.95","0","65040","38","1.926"
"2025-10-13","13 Oct 2025","0","49","930","1.90","1.95","0","69968","37","1.926"
"2025-10-14","14 Oct 2025","0","47","907","1.90","1.95","0","67099","38","1.927"
"2025-10-15","15 Oct 2025","0","50","926","1.90","1.95","0","68248","40","1.928"
"2025-10-16","16 Oct 2025","0","50","892","1.90","1.95","0","68653","40","1.928"
"2025-10-17","17 Oct 2025","0","50","886","1.90","1.95","0","67458","39","1.928"
"2025-10-20","20 Oct 2025","0","48","901","1.90","1.95","0","64675","41","1.927"
"2025-10-21","21 Oct 2025","0","50","929","1.90","1.95","0","70482","38","1.928"
"2025-10-22","22 Oct 2025","0","48","886","1.90","1.95","0","66073","39","1.927"
"2025-10-23","23 Oct 2025","0","50","858","1.90","1.95","0","64078","42","1.929"
"2025-10-24","24 Oct 2025","0","49","838","1.90","1.95","0","63040","42","1.928"
"2025-10-27","27 Oct 2025","0","46","862","1.90","1.95","0","66783","41","1.929"
"2025-10-28","28 Oct 2025","0","47","887","1.90","1.95","0","70140","39","1.930"
"2025-10-29","29 Oct 2025","0","50","918","1.90","1.95","0","68143","39","1.931"
"2025-10-30","30 Oct 2025","0","49","859","1.90","1.95","0","63191","42","1.931"
"2025-10-31","31 Oct 2025","0","46","781","1.88","1.96","0","51853","44","1.921"
"2025-11-03","03 Nov 2025","0","49","893","1.90","1.96","0","68305","39","1.932"
"2025-11-04","04 Nov 2025","0","48","894","1.90","1.96","0","66083","40","1.931"
"2025-11-05","05 Nov 2025","0","48","906","1.90","1.95","0","65918","39","1.929"
"2025-11-06","06 Nov 2025","0","48","868","1.90","1.96","0","66247","39","1.930"
"2025-11-07","07 Nov 2025","0","47","874","1.90","1.96","0","66091","38","1.932"
"2025-11-10","10 Nov 2025","0","46","826","1.90","1.96","0","62009","40","1.931"
"2025-11-11","11 Nov 2025","0","47","848","1.90","1.95","0","63257","41","1.930"
"2025-11-12","12 Nov 2025","0","49","892","1.90","1.95","0","63418","39","1.930"
