date,Euribor_3m,Euribor_1w,Euribor_1m,Euribor_6m,Euribor_12m,VIX,EuroStoxx_Banks,Bund_10Y,ECB_Deposit,ECB_Marginal,ECB_Main,ECB_Yield_10Y,ECB_Yield_1Y,ECB_Yield_10Y,ECB_Yield_1Y,TIME PERIOD,Euro short-term rate - Calculation method (EST.B.EU000A2X2A25.CM),Euro short-term rate - Number of active banks (EST.B.EU000A2X2A25.NB),Euro short-term rate - Number of transactions (EST.B.EU000A2X2A25.NT),Euro short-term rate - Rate at 25th percentile of volume (EST.B.EU000A2X2A25.R25),Euro short-term rate - Rate at 75th percentile of volume (EST.B.EU000A2X2A25.R75),Euro short-term rate - Publication type (EST.B.EU000A2X2A25.RP),Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT),Euro short-term rate - Share of volume of the 5 largest active banks (EST.B.EU000A2X2A25.VL),Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT),OIS_1m,OIS_3m
2004-12-23,2.178,2.251,2.174,2.222,2.34,11.23,43033.71959494728,3.57952380952381,1.0,3.0,2.0,4.57622,2.399076,3.613551,2.214698,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-12-29,2.18,2.241,2.171,2.229,2.366,11.62,43033.71959494728,3.57952380952381,1.0,3.0,2.0,4.654601,2.486277,3.709169,2.260297,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-01-04,2.151,2.112,2.123,2.21,2.351,13.98,44517.17298256603,3.5647619047619,1.0,3.0,2.0,4.605948,2.463414,3.668323,2.231982,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-01-10,2.146,2.104,2.114,2.198,2.326,13.23,44517.17298256603,3.5647619047619,1.0,3.0,2.0,4.566889,2.381684,3.621085,2.179831,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-01-14,2.144,2.074,2.106,2.187,2.296,12.43,44517.17298256603,3.5647619047619,1.0,3.0,2.0,4.490615,2.370915,3.580548,2.185829,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-01-20,2.144,2.1,2.108,2.186,2.297,13.83,44517.17298256603,3.5647619047619,1.0,3.0,2.0,4.447732,2.397866,3.580961,2.199972,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-01-26,2.143,2.103,2.107,2.181,2.29,13.44,44517.17298256603,3.5647619047619,1.0,3.0,2.0,4.413493,2.377237,3.573076,2.183268,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-02-01,2.142,2.095,2.106,2.183,2.288,12.03,45459.86011065873,3.544,1.0,3.0,2.0,4.39747,2.380236,3.555893,2.180269,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-02-07,2.142,2.095,2.105,2.184,2.304,11.73,45459.86011065873,3.544,1.0,3.0,2.0,4.198062,2.404535,3.479576,2.200515,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-02-11,2.14,2.094,2.104,2.174,2.281,11.43,45459.86011065873,3.544,1.0,3.0,2.0,4.246014,2.361311,3.468299,2.179056,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-02-17,2.135,2.089,2.103,2.182,2.315,11.77,45459.86011065873,3.544,1.0,3.0,2.0,4.368485,2.453552,3.587066,2.219426,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-02-23,2.135,2.088,2.103,2.194,2.331,12.39,45459.86011065873,3.544,1.0,3.0,2.0,4.504364,2.461354,3.680708,2.223606,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-03-01,2.136,2.091,2.103,2.199,2.344,12.04,46777.32539931099,3.69619047619048,1.0,3.0,2.0,4.565206,2.492279,3.733986,2.239107,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-03-07,2.133,2.079,2.102,2.178,2.293,12.26,46777.32539931099,3.69619047619048,1.0,3.0,2.0,4.556325,2.397995,3.68145,2.187365,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
